cbsa_code,cbsa_title,metropolitan_division_code,metropolitan_division_title,csa_code,csa_title,geoid,state_fips,county_fips,county_or_equivalent,state,central_outlying,delineation_date
10180,"Abilene, TX",,,101,"Abilene-Sweetwater, TX",48059,48,059,Callahan County,Texas,Outlying,2023-07-21
10180,"Abilene, TX",,,101,"Abilene-Sweetwater, TX",48253,48,253,Jones County,Texas,Outlying,2023-07-21
10180,"Abilene, TX",,,101,"Abilene-Sweetwater, TX",48441,48,441,Taylor County,Texas,Central,2023-07-21
10380,"Aguadilla, PR",,,364,"Mayagüez-Aguadilla, PR",72003,72,003,Aguada Municipio,Puerto Rico,Central,2023-07-21
10380,"Aguadilla, PR",,,364,"Mayagüez-Aguadilla, PR",72005,72,005,Aguadilla Municipio,Puerto Rico,Central,2023-07-21
10380,"Aguadilla, PR",,,364,"Mayagüez-Aguadilla, PR",72011,72,011,Añasco Municipio,Puerto Rico,Central,2023-07-21
10380,"Aguadilla, PR",,,364,"Mayagüez-Aguadilla, PR",72071,72,071,Isabela Municipio,Puerto Rico,Central,2023-07-21
10380,"Aguadilla, PR",,,364,"Mayagüez-Aguadilla, PR",72099,72,099,Moca Municipio,Puerto Rico,Central,2023-07-21
10380,"Aguadilla, PR",,,364,"Mayagüez-Aguadilla, PR",72117,72,117,Rincón Municipio,Puerto Rico,Central,2023-07-21
10380,"Aguadilla, PR",,,364,"Mayagüez-Aguadilla, PR",72131,72,131,San Sebastián Municipio,Puerto Rico,Central,2023-07-21
10420,"Akron, OH",,,184,"Cleveland-Akron-Canton, OH",39133,39,133,Portage County,Ohio,Central,2023-07-21
10420,"Akron, OH",,,184,"Cleveland-Akron-Canton, OH",39153,39,153,Summit County,Ohio,Central,2023-07-21
10500,"Albany, GA",,,,,13095,13,095,Dougherty County,Georgia,Central,2023-07-21
10500,"Albany, GA",,,,,13177,13,177,Lee County,Georgia,Central,2023-07-21
10500,"Albany, GA",,,,,13273,13,273,Terrell County,Georgia,Outlying,2023-07-21
10500,"Albany, GA",,,,,13321,13,321,Worth County,Georgia,Outlying,2023-07-21
10540,"Albany, OR",,,440,"Portland-Vancouver-Salem, OR-WA",41043,41,043,Linn County,Oregon,Central,2023-07-21
10580,"Albany-Schenectady-Troy, NY",,,104,"Albany-Schenectady, NY",36001,36,001,Albany County,New York,Central,2023-07-21
10580,"Albany-Schenectady-Troy, NY",,,104,"Albany-Schenectady, NY",36083,36,083,Rensselaer County,New York,Central,2023-07-21
10580,"Albany-Schenectady-Troy, NY",,,104,"Albany-Schenectady, NY",36091,36,091,Saratoga County,New York,Outlying,2023-07-21
10580,"Albany-Schenectady-Troy, NY",,,104,"Albany-Schenectady, NY",36093,36,093,Schenectady County,New York,Central,2023-07-21
10580,"Albany-Schenectady-Troy, NY",,,104,"Albany-Schenectady, NY",36095,36,095,Schoharie County,New York,Outlying,2023-07-21
10740,"Albuquerque, NM",,,105,"Albuquerque-Santa Fe-Los Alamos, NM",35001,35,001,Bernalillo County,New Mexico,Central,2023-07-21
10740,"Albuquerque, NM",,,105,"Albuquerque-Santa Fe-Los Alamos, NM",35043,35,043,Sandoval County,New Mexico,Central,2023-07-21
10740,"Albuquerque, NM",,,105,"Albuquerque-Santa Fe-Los Alamos, NM",35057,35,057,Torrance County,New Mexico,Outlying,2023-07-21
10740,"Albuquerque, NM",,,105,"Albuquerque-Santa Fe-Los Alamos, NM",35061,35,061,Valencia County,New Mexico,Outlying,2023-07-21
10780,"Alexandria, LA",,,,,22043,22,043,Grant Parish,Louisiana,Outlying,2023-07-21
10780,"Alexandria, LA",,,,,22079,22,079,Rapides Parish,Louisiana,Central,2023-07-21
10900,"Allentown-Bethlehem-Easton, PA-NJ",,,106,"Allentown-Bethlehem-East Stroudsburg, PA-NJ",34041,34,041,Warren County,New Jersey,Central,2023-07-21
10900,"Allentown-Bethlehem-Easton, PA-NJ",,,106,"Allentown-Bethlehem-East Stroudsburg, PA-NJ",42025,42,025,Carbon County,Pennsylvania,Outlying,2023-07-21
10900,"Allentown-Bethlehem-Easton, PA-NJ",,,106,"Allentown-Bethlehem-East Stroudsburg, PA-NJ",42077,42,077,Lehigh County,Pennsylvania,Central,2023-07-21
